Comment,Designator,Footprint,LCSC
1uF,"C1,C2,C3,C7",Capacitor_SMD:C_0402_1005Metric,C52923
100nF,"C4,C5,C8,C9,C10,C11,C12,C13,C14,C17",Capacitor_SMD:C_0402_1005Metric,C1525
10uF,C6,Capacitor_SMD:C_0402_1005Metric,C15525
22pF,"C15,C16",Capacitor_SMD:C_0402_1005Metric,C1555
Schottky Diode,"D1,D2",qw-footprints:CUSTOM D_SOD-123,C130880
Fuse_Small,F1,Fuse:Fuse_1206_3216Metric,
USB C Connector,J1,qw-footprints:TYPE-C_24P_QCHT,C456013
10k,R1,Resistor_SMD:R_0402_1005Metric,C25744
27R,"R2,R3",Resistor_SMD:R_0603_1608Metric,C25190
1k,"R4,R5",Resistor_SMD:R_0402_1005Metric,C11702
MX_SW_HS,"SW1,SW3,SW5,SW7,SW10,SW11,SW13,SW16,SW17,SW19,SW22,SW23,SW26,SW28,SW29,SW32,SW34,SW35,SW38,SW39",marbastlib-mx:SW_MX_HS_1u,
Boot,SW41,Button_Switch_SMD:SW_SPST_SKQG_WithStem,C5156480
XC6206,U1,Package_TO_SOT_SMD:SOT-23,C5446
USBLC6-2SC6,U2,Package_TO_SOT_SMD:SOT-23-6,
RP2040,U3,qw-footprints:RP2040-QFN-56,C2040
W25Q128JVS,U4,Package_SO:SOIC-8_5.23x5.23mm_P1.27mm,C97521
12MHz,Y1,Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm,C9002
