Designator,Mid X,Mid Y,Layer,Rotation
C1,206.44,-38.55,T,180.0
C10,193.34475,-51.196018,T,90.0
C11,199.469,-62.48325,T,270.0
C12,192.32875,-57.038018,T,225.0
C13,205.057,-49.91025,T,0.0
C14,205.057,-51.43425,T,0.0
C15,192.865,-66.309018,T,270.0
C16,199.56775,-66.055018,T,90.0
C17,195.08,-39.09,T,0.0
C2,206.34,-44.7,T,0.0
C3,201.34575,-48.656018,T,90.0
C4,197.056,-46.86225,T,90.0
C5,200.993,-62.48325,T,270.0
C6,206.34,-43.5,T,180.0
C7,198.58,-46.86225,T,90.0
C8,205.886,-57.815893,T,315.0
C9,202.36175,-48.656018,T,90.0
D1,211.49,-33.57,T,90.0
F1,202.55,-36.84,T,270.0
J1,198.5785,-28.0,T,180.0
R3,204.5,-61.93,T,180.0
R4,199.01,-43.14,T,270.0
R5,200.54,-43.14,T,270.0
R6,197.437,-62.48325,T,90.0
R7,185.86,-37.19,T,270.0
SW1,198.5785,-94.326866,B,180.0
SW10,118.85,-74.31,B,180.0
SW11,277.634,-46.345,B,180.0
SW13,304.152,-34.349,B,180.0
SW16,332.507,-37.324,B,180.0
SW17,358.73,-53.36,B,180.0
SW19,277.634,-73.954,B,180.0
SW22,304.152,-61.959,B,180.0
SW23,332.507,-64.934,B,180.0
SW26,358.73,-80.97,B,180.0
SW28,125.800499,-141.471001,B,180.0
SW29,148.488499,-157.240001,B,180.0
SW3,38.642,-81.576,B,180.0
SW32,247.9485,-126.082866,B,180.0
SW34,270.6355,-110.312866,B,180.0
SW35,247.9485,-157.267866,B,180.0
SW38,270.6355,-141.497866,B,180.0
SW39,293.2925,-126.082866,B,180.0
SW41,180.93,-34.82,T,0.0
SW5,63.922,-65.273,B,180.0
SW7,92.278,-62.547,B,180.0
U1,205.87,-40.99,T,90.0
U2,198.58,-37.35,T,270.0
U3,198.58,-54.895,T,0.0
U4,189.45,-40.99,T,0.0
Y1,196.294,-66.03925,T,180.0
